file,date,latitude,longitude,ocean,profiler_type,institution,date_update,parsed_date,download_url
incois/5907139/profiles/R5907139_004.nc,20241226135459,-1.833,77.383,I,844,IN,20241227003032,2024-12-26 13:54:59,https://data-argo.ifremer.fr/dac/incois/5907139/profiles/R5907139_004.nc
meds/4902626/profiles/R4902626_071.nc,20240918012900,-4.88,40.949,I,836,ME,20241001164034,2024-09-18 01:29:00,https://data-argo.ifremer.fr/dac/meds/4902626/profiles/R4902626_071.nc
aoml/2903139/profiles/R2903139_087.nc,20250411105739,-6.022,95.246,I,854,AO,20250421190111,2025-04-11 10:57:39,https://data-argo.ifremer.fr/dac/aoml/2903139/profiles/R2903139_087.nc
coriolis/6903148/profiles/R6903148_109.nc,20250812130820,-9.961,55.221,I,844,IF,20250812142645,2025-08-12 13:08:20,https://data-argo.ifremer.fr/dac/coriolis/6903148/profiles/R6903148_109.nc
aoml/1902471/profiles/R1902471_061.nc,20250112002448,0.752,74.645,I,854,AO,20250122080134,2025-01-12 00:24:48,https://data-argo.ifremer.fr/dac/aoml/1902471/profiles/R1902471_061.nc
incois/2903895/profiles/D2903895_033.nc,20241217141221,9.783,67.2,I,844,IN,20250526114105,2024-12-17 14:12:21,https://data-argo.ifremer.fr/dac/incois/2903895/profiles/D2903895_033.nc
aoml/5907107/profiles/R5907107_041.nc,20250801152653,0.213,75.021,I,869,AO,20250801223221,2025-08-01 15:26:53,https://data-argo.ifremer.fr/dac/aoml/5907107/profiles/R5907107_041.nc
incois/3902581/profiles/D3902581_038.nc,20241106131800,2.523,76.562,I,836,IN,20250526104144,2024-11-06 13:18:00,https://data-argo.ifremer.fr/dac/incois/3902581/profiles/D3902581_038.nc
coriolis/3902490/profiles/R3902490_060.nc,20250316231801,0.601,67.066,I,834,IF,20250317000120,2025-03-16 23:18:01,https://data-argo.ifremer.fr/dac/coriolis/3902490/profiles/R3902490_060.nc
aoml/1901805/profiles/D1901805_287.nc,20240925192054,-18.473,55.129,I,863,AO,20250806141446,2024-09-25 19:20:54,https://data-argo.ifremer.fr/dac/aoml/1901805/profiles/D1901805_287.nc
incois/7902170/profiles/D7902170_039.nc,20250502023833,0.865,80.981,I,846,IN,20250525181844,2025-05-02 02:38:33,https://data-argo.ifremer.fr/dac/incois/7902170/profiles/D7902170_039.nc
coriolis/6903148/profiles/R6903148_102.nc,20250602021320,-11.353,55.078,I,844,IF,20250602032635,2025-06-02 02:13:20,https://data-argo.ifremer.fr/dac/coriolis/6903148/profiles/R6903148_102.nc
aoml/5906279/profiles/R5906279_182.nc,20250730002724,-17.474,68.424,I,846,AO,20250730030133,2025-07-30 00:27:24,https://data-argo.ifremer.fr/dac/aoml/5906279/profiles/R5906279_182.nc
aoml/1902482/profiles/R1902482_059.nc,20241221212938,2.711,69.414,I,854,AO,20250106235934,2024-12-21 21:29:38,https://data-argo.ifremer.fr/dac/aoml/1902482/profiles/R1902482_059.nc
